id,Team,Runner,Yards,RunTime,Mintime,Maxtime,Avg,Nationality,Gen,Age,Comments,Yard1,Yard2,Yard3,Yard4,Yard5,Yard6,Yard7,Yard8,Yard9,Yard10,Yard11,Yard12,Yard13,Yard14,Yard15,Yard16,Yard17,Yard18,Yard19,Yard20,Yard21,Yard22,Yard23,Yard24,Yard25,Yard26,Yard27,Yard28,Yard29,Yard30,Yard31,Yard32,Yard33,Yard34,Yard35,Yard36,Yard37,Yard38,Yard39,Yard40,Yard41,Yard42,Yard43,Yard44,Yard45,Yard46,Yard47,Yard48,Yard49,Yard50,Yard51,Yard52,Yard53,Yard54,Yard55,Yard56,Yard57,Yard58,Yard59,Yard60,Yard61,Yard62,Yard63,Yard64,Yard65,Yard66,Yard67,Yard68,Yard69,Yard70,Yard71,Yard72,Yard73,Yard74,Yard75,Yard76,Yard77,Yard78,Yard79,Yard80,Yard81,Yard82,Yard83,Yard84,Yard85,Yard86,Yard87,Yard88,Yard89,Yard90,Yard91,Yard92,Yard93,Yard94,Yard95,Yard96
75,Ukraine,Oleg Chyzhyk ,33,24:53:38,41:35,51:11,45:16,Ukraine,M,41,BU 24 loops,41:53,42:58,43:28,44:05,44:41,45:21,45:30,43:57,46:48,44:59,45:12,43:34,43:59,45:52,46:11,45:59,42:29,41:35,44:25,43:47,44:20,43:06,45:26,45:37,45:43,44:01,46:29,47:34,48:29,47:41,46:30,51:11,50:48,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Denmark,Thure Tornbo Baastrup,33,26:16:24,44:00,56:25,47:46,Danish,M,39,27 yards 2020,44:00,46:40,46:00,47:00,46:00,47:00,45:00,44:20,45:00,45:19,46:35,46:20,46:50,46:10,47:00,46:40,47:55,47:00,45:40,46:20,47:30,47:50,48:40,49:05,49:15,51:30,50:55,50:30,52:45,53:30,56:25,45:10,50:30,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Canada,Mike Huber,33,26:47:29,44:04,54:00,48:43,Canadian,M,46,25 yards,44:10,46:15,47:19,47:15,46:19,44:38,46:44,46:34,49:37,44:45,49:13,44:04,48:26,46:42,47:10,46:21,48:09,48:24,48:46,48:09,49:03,47:23,49:54,49:24,50:35,52:33,52:37,54:00,50:52,52:59,53:34,52:49,52:46,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Singapore,Wong Hoong Wei,33,27:23:23,47:30,53:14,49:48,SINGAPOREAN,M,40,"24 hours run: 216km (Sydney 2019)
16 hours run: 160km (Singapore 2015)
12 hours run: 125km (Kuala Lumpur 2019)
100km run: 8h 26min (Singapore 2020)
42km: 2h 59min (Seoul 2018)",53:00,52:00,50:00,50:03,49:15,50:22,50:26,49:18,50:18,50:10,47:57,48:55,49:15,47:30,48:28,48:17,50:01,48:01,47:56,47:35,47:53,49:55,48:56,50:54,48:43,48:54,49:40,49:44,53:14,52:19,52:43,49:15,52:26,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,United States,Amelia Boone,33,27:44:17,44:04,56:12,50:26,USA,F,37,WC OC racer,52:25,52:16,52:59,52:51,52:31,52:04,51:45,51:59,53:17,52:52,52:04,44:04,45:35,48:10,48:49,46:52,48:23,49:20,49:20,45:26,44:44,45:21,45:43,45:50,54:03,51:30,52:20,53:23,52:51,52:45,52:41,53:52,56:12,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Spain,Ana Cristina Constantin,33,28:07:45,47:02,58:50,51:09,Romania,F,40,,47:02,48:54,50:39,48:35,49:27,50:20,49:55,51:03,49:16,49:35,50:49,49:25,50:10,51:21,50:57,51:21,49:42,50:49,50:39,48:40,49:34,51:16,49:41,49:41,52:39,52:23,52:08,53:33,54:35,53:29,54:39,56:38,58:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Germany,Bernhard Epple,33,28:13:18,37:11,59:02,51:19,Germany,M,49,"Charity runner 218k, 100k runner",48:30,51:02,52:12,49:16,52:58,50:26,46:47,52:38,49:31,50:13,51:07,51:02,50:47,50:18,49:25,49:39,53:22,37:11,52:14,53:32,50:48,50:56,52:19,51:44,51:27,51:39,52:19,50:29,52:55,53:43,56:44,57:03,59:02,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,United Kingdom,Bobbie Irvine,33,28:50:00,48:36,56:18,52:25,Northern Ireland,M,,,48:36,51:16,50:21,50:27,50:18,53:27,51:57,52:47,51:59,51:08,53:20,52:27,53:04,51:44,53:08,53:35,53:32,52:24,52:58,50:57,50:51,51:10,48:52,56:18,51:02,51:51,52:38,53:46,53:23,54:27,55:18,55:53,55:06,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Sweden,Mikael Antonsson,33,28:51:19,48:36,58:22,52:28,Sweden,M,47,Best perf 34 yards,50:17,53:10,51:01,50:24,48:36,51:18,49:41,51:50,52:26,51:14,50:04,50:08,51:23,50:39,52:18,50:19,50:00,51:43,50:52,52:01,51:45,51:39,51:11,51:46,53:26,54:27,57:47,57:50,55:38,54:36,56:41,58:22,56:47,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Denmark,Mikkel Højborg Olsen,32,24:21:21,38:00,52:00,45:40,Danish,M,33,5K - 16:48,43:30,52:00,50:00,49:00,48:00,48:00,47:00,46:45,42:00,44:30,46:35,46:40,47:21,46:10,47:00,46:10,47:40,40:30,46:10,51:00,51:35,48:15,38:00,42:05,40:45,44:50,43:35,43:30,45:35,42:10,42:15,42:45,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
