id,Team,Runner,Yards,RunTime,Mintime,Maxtime,Avg,Nationality,Gen,Age,Comments,Yard1,Yard2,Yard3,Yard4,Yard5,Yard6,Yard7,Yard8,Yard9,Yard10,Yard11,Yard12,Yard13,Yard14,Yard15,Yard16,Yard17,Yard18,Yard19,Yard20,Yard21,Yard22,Yard23,Yard24,Yard25,Yard26,Yard27,Yard28,Yard29,Yard30,Yard31,Yard32,Yard33,Yard34,Yard35,Yard36,Yard37,Yard38,Yard39,Yard40,Yard41,Yard42,Yard43,Yard44,Yard45,Yard46,Yard47,Yard48,Yard49,Yard50,Yard51,Yard52,Yard53,Yard54,Yard55,Yard56,Yard57,Yard58,Yard59,Yard60,Yard61,Yard62,Yard63,Yard64,Yard65,Yard66,Yard67,Yard68,Yard69,Yard70,Yard71,Yard72,Yard73,Yard74,Yard75,Yard76,Yard77,Yard78,Yard79,Yard80,Yard81,Yard82,Yard83,Yard84,Yard85,Yard86,Yard87,Yard88,Yard89,Yard90,Yard91,Yard92,Yard93,Yard94,Yard95,Yard96
149,Finland,Jani Lempinen,27,22:01:35,43:10,52:45,48:57,Finland,M,41,Best perf 24 yards,47:07,48:58,48:35,49:10,47:45,43:10,48:25,48:40,49:00,50:35,50:30,50:35,50:50,50:05,49:40,49:40,49:35,48:05,47:40,47:20,47:10,48:20,46:10,49:30,50:50,52:45,51:25,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Finland,Lari Koivu,27,22:03:41,44:40,54:15,49:02,Finland,M,40,100km Finnish Champion 2017 and 2019,46:22,48:10,44:40,47:52,47:00,48:35,46:20,50:07,48:35,48:35,49:00,50:10,49:45,48:25,48:25,50:30,48:55,49:50,48:00,47:45,48:00,49:50,48:35,50:50,51:35,53:35,54:15,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Canada,Jeremy Welwood,27,22:28:55,46:17,59:02,49:58,Canadian,M,38,102 miles,47:21,46:17,46:51,49:20,47:46,46:49,46:43,46:35,46:57,46:25,46:20,48:02,48:20,51:24,52:29,50:05,50:13,50:38,50:33,49:15,50:20,51:33,52:38,52:52,56:33,57:34,59:02,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Ukraine,Sergey Cheremisin ,27,22:37:21,44:37,54:08,50:16,Ukraine,M,40,BU 26 loops,50:56,52:03,51:21,50:54,52:40,50:28,49:32,45:53,51:24,44:44,52:41,44:37,53:22,50:35,54:08,47:26,49:10,50:32,50:46,51:27,45:50,53:05,52:17,52:25,53:05,51:14,44:46,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Switzerland,Ole Evers ,27,22:49:40,46:52,58:54,50:44,Germany ,M,26,"Brocken Challenge, Paddy Buckley Round",49:05,51:13,50:53,50:00,53:35,46:52,50:01,53:04,47:52,50:32,49:39,49:14,49:55,49:09,51:48,47:52,54:29,48:49,48:44,51:25,47:13,51:01,49:24,54:57,52:11,51:49,58:54,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,United Kingdom,Adam McKee,27,22:53:01,46:54,54:57,50:51,Northern Ireland,M,,,48:44,51:31,50:44,51:12,51:33,54:10,50:43,50:28,52:11,51:16,52:44,48:32,51:06,50:43,51:43,52:07,52:12,51:10,51:43,49:29,48:43,46:54,48:05,47:31,51:41,51:09,54:57,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Russia,Gennady Karasev,27,23:11:32,47:00,59:01,51:32,Russia,M,,22 laps in MBU-2019,47:00,49:40,49:01,51:20,48:10,48:03,48:40,50:30,50:35,49:30,51:07,50:19,51:05,51:59,51:10,52:00,50:08,48:24,49:50,51:50,55:05,53:30,55:00,56:30,55:20,59:01,56:45,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Germany,Klaus Mantel,27,23:38:16,48:04,57:04,52:32,Germany,M,57,"best perf 24 yards, spartathlon",48:12,50:48,48:04,51:06,51:09,51:18,49:09,53:51,54:29,53:53,54:55,55:53,51:11,52:44,51:47,52:11,52:45,52:00,50:24,51:07,52:48,53:03,53:08,54:36,53:53,57:04,56:48,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Japan,Yohei YAMANOMOTO,27,23:53:46,49:09,58:52,53:06,Japan,M,35,TGVRAT1000 & BAT 2000 14th place,53:53,54:36,52:00,53:34,49:09,52:54,52:45,53:39,52:49,51:41,51:27,51:08,51:25,52:02,52:17,52:30,51:58,52:56,53:13,54:01,53:24,53:14,54:05,54:46,54:21,55:07,58:52,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Denmark,Dorte Dahl,26,20:15:51,41:50,53:10,46:46,Danish,F,55,Marathon 2.54,45:00,47:00,46:00,46:00,46:00,47:00,47:12,44:19,47:30,44:00,47:50,47:10,48:30,48:55,48:15,46:10,48:05,47:20,45:20,45:40,46:30,46:45,46:15,41:50,48:05,53:10,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Russia,Irina Masanova,26,20:21:30,44:14,49:50,46:59,Russia,F,,24h Russian record holder - 247km,45:45,44:14,44:58,47:52,45:20,45:45,44:55,45:40,45:24,47:10,46:32,47:27,48:58,49:50,49:12,49:01,49:10,47:15,47:45,46:30,46:22,46:20,46:35,46:40,48:10,48:40,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sweden,DIana Kämpe,26,20:34:53,45:14,52:50,47:30,Sweden,F,46,Best perf 28 yards,46:25,45:14,46:05,46:26,46:32,47:11,47:30,47:03,46:45,46:57,46:33,47:54,47:39,47:09,48:10,48:19,47:33,48:11,46:07,46:23,46:46,47:56,48:16,48:13,50:46,52:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Denmark,Morten Klingenberg,26,20:54:59,43:50,56:20,48:16,Danish,M,35,21 yards 2019,44:00,48:00,50:00,49:00,49:00,50:00,50:02,48:30,47:17,44:30,47:45,47:05,49:05,48:55,47:00,48:45,47:10,46:50,43:50,48:15,48:30,48:10,46:10,50:20,50:30,56:20,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Australia,John Pearson,26,20:57:58,43:46,51:47,48:23,England,M,48,,50:15,48:07,49:22,45:28,48:14,45:51,46:31,43:46,45:45,46:56,47:08,45:30,49:53,49:33,50:01,48:09,49:29,48:36,49:22,48:43,51:42,48:51,50:10,48:05,51:47,50:44,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Belarus,Aksana Sulimchik,26,21:09:07,45:00,50:41,48:49,Belarus,F,34,,45:00,49:02,48:24,49:54,49:33,49:35,47:14,48:15,48:39,48:58,50:10,48:39,50:15,50:15,49:45,50:41,49:05,50:08,46:43,48:06,48:33,47:30,47:15,48:33,48:55,50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Switzerland,Luca Ambrosini,26,21:09:15,43:52,52:38,48:49,Italy,M,36,"Morenic Trail (winner), Transgrancanaria, Lavaredo ",49:08,51:09,49:11,49:49,43:52,47:07,48:43,47:36,47:02,48:06,48:17,47:25,50:25,49:06,49:33,52:38,49:29,48:43,47:49,44:21,45:15,50:50,49:55,50:01,51:55,51:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,France,Remy Jegard,26,21:12:12,43:39,54:52,48:56,France,M,50,Run Several Barkley,46:30,49:04,47:23,46:26,47:06,48:24,45:38,46:57,46:52,47:22,46:24,46:34,50:39,49:54,50:22,52:40,49:50,49:54,48:49,43:39,50:18,48:30,52:20,51:19,54:52,54:26,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Spain,Francisco Javier Barrera Gomez,26,21:23:33,46:54,57:36,49:22,Spain,M,31,,46:54,47:06,50:45,48:38,47:51,48:10,49:44,49:13,48:55,48:30,49:18,49:22,49:19,49:34,50:49,47:05,48:35,49:38,50:21,48:18,48:15,48:59,49:14,49:14,52:10,57:36,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,New Zealand,Shaun Collins,26,21:28:54,43:50,55:00,49:34,New Zealand,M,,"Best perf 27 laps in 2019 NZ ReLaps Backyard Ultra , Fastest Miler 19hrs40 (Blue Lake), Longest distance run 305km in 51hrs (2020 Akld Circumnavigation), Longest time run 58hrs (Revenant 2020 - NZ's Barkley race), ",48:54,47:51,48:10,47:48,48:15,46:53,43:50,47:27,48:06,49:43,53:09,52:03,49:00,49:59,55:00,49:50,50:27,49:26,48:28,51:24,48:30,47:36,49:15,50:12,53:48,53:50,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Spain,Israel Pastor Corredor,26,21:39:39,44:11,57:31,49:59,Spain,M,40,,47:11,47:55,48:13,46:39,44:11,44:24,47:40,49:17,48:10,46:55,48:01,46:57,48:00,50:54,49:05,51:05,49:29,53:23,51:28,50:14,51:32,53:14,55:22,55:22,57:27,57:31,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,United Kingdom,Rachel Piper,26,22:26:35,49:52,53:00,51:48,English,F,,,50:54,51:31,50:50,51:18,51:31,53:00,51:54,51:55,51:48,50:51,52:12,51:43,52:16,52:26,52:13,52:14,52:50,52:45,51:54,50:58,51:36,52:37,49:52,51:20,52:39,51:28,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Sweden,Henrik Bengtsson,26,22:39:25,49:42,57:53,52:17,Sweden,M,42,Best perf 30 yards,54:47,51:26,52:55,51:51,52:27,52:42,51:31,52:37,51:54,52:12,51:53,51:19,51:35,51:30,51:25,49:42,51:54,52:04,51:11,51:41,50:47,52:13,52:30,52:25,55:01,57:53,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Japan,Norimasa UCHIDA,26,22:54:10,49:12,57:17,52:51,Japan,M,49,Last Samurai Standing 37yards,53:10,53:15,52:16,51:28,52:05,53:00,52:10,54:34,54:14,51:07,49:12,51:19,51:35,50:08,52:03,51:19,52:10,52:36,52:36,53:02,53:51,52:20,54:25,56:03,56:55,57:17,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,United States,Brian Trinkle,26,23:01:28,48:55,59:38,53:08,USA,M,58,best perf 32 yards,53:17,56:37,54:58,53:31,53:23,54:36,53:33,54:51,55:13,54:27,55:10,49:21,48:55,50:42,49:18,51:48,49:49,49:12,50:34,53:38,52:35,52:37,53:31,51:32,59:38,58:42,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Ireland,Peter Swann,26,23:06:00,48:57,55:46,53:18,Northern Ireland,M,,,49:22,53:21,53:35,48:57,53:30,55:01,53:51,53:38,53:27,53:07,53:49,54:08,55:04,51:05,53:15,51:56,52:14,54:49,54:20,52:22,51:39,54:01,54:44,53:35,55:24,55:46,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Japan,Shota MIYAZAKI,26,24:11:37,54:22,59:10,55:50,Japan,M,32,Last Samurai Standing 24yards,55:10,56:13,56:05,55:15,55:54,56:03,54:22,55:50,55:59,55:46,55:42,55:48,54:50,55:42,55:15,55:34,55:02,55:50,55:40,55:40,55:38,55:42,55:35,55:46,58:06,59:10,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Ireland,Vincent McMath,25,19:16:15,42:13,56:10,46:15,Irish,M,,,45:27,47:01,44:38,44:42,44:36,44:21,44:49,46:26,45:53,46:05,47:09,46:46,46:44,46:21,46:16,47:27,47:27,48:08,46:24,46:45,43:00,42:13,43:24,48:03,56:10,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Canada,Scott Cooper,25,19:39:50,40:44,59:46,47:12,Canadian,M,32,100 miles,45:17,46:17,44:29,44:33,41:20,40:44,45:26,43:01,45:11,45:41,45:52,45:39,46:44,46:33,45:50,46:31,52:32,46:09,47:27,46:09,46:57,51:54,54:52,54:56,59:46,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Belarus,Pavel Kulikou,25,19:42:49,42:23,54:26,47:19,Belarus,M,25,,47:14,48:34,43:30,42:23,43:37,47:02,45:43,44:40,44:23,46:18,43:46,42:59,47:21,48:06,47:36,45:35,44:25,47:08,50:06,49:50,51:30,51:55,51:00,53:42,54:26,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Australia,Neil Macneil,25,19:54:56,42:15,55:14,47:48,England,M,49,,47:42,44:07,48:53,46:32,47:53,46:55,42:15,44:18,45:40,45:18,49:24,50:09,50:19,50:11,49:49,50:17,42:56,50:43,48:01,42:17,50:32,45:46,48:45,51:00,55:14,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,New Zealand,Matt Bailey,25,20:05:09,43:58,59:27,48:12,New Zealand,M,,Best perf 15 laps 2019 NZ ReLaps Backyard Ultra ,47:02,45:15,48:20,50:58,48:15,43:58,44:22,47:26,47:42,47:28,49:05,47:45,49:00,48:13,48:24,47:47,47:13,48:26,45:32,46:37,48:00,47:59,50:43,50:12,59:27,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Denmark,Peter Kjeldmann,25,20:22:12,42:00,54:30,48:53,Danish,M,39,16 yards 2020 - 184 km 24h indoor,45:00,47:00,47:30,47:00,46:00,48:00,47:32,42:00,49:30,48:10,48:10,49:15,48:50,49:30,50:55,48:55,50:10,49:40,48:25,48:45,48:30,51:45,53:20,53:50,54:30,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Ireland,Kieth Lane,25,20:26:20,46:07,57:06,49:03,Irish,M,,,46:58,49:49,46:51,48:16,47:35,48:27,49:22,48:30,48:55,46:07,49:37,50:01,49:07,48:53,48:55,48:52,47:56,48:54,48:32,48:08,47:44,48:31,48:29,54:45,57:06,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Ireland,Louise Smart,25,20:29:11,45:54,54:32,49:10,Northern Ireland,F,,,45:54,47:41,46:53,48:02,47:36,48:31,49:12,48:32,49:34,48:32,49:11,49:02,49:29,49:03,48:56,49:19,49:58,50:37,51:47,49:11,49:17,49:28,48:31,50:23,54:32,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Switzerland,Till Winkler,25,20:40:43,46:05,53:14,49:38,Germany ,M,43,"UTMB, ZUT, UT4M, E101, Traildorado",49:07,51:30,50:32,51:10,50:08,48:21,49:53,49:17,48:27,51:27,48:11,49:58,47:55,49:49,49:38,50:34,49:33,48:53,48:44,46:11,46:05,51:27,50:44,49:55,53:14,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Germany,Erik Drollinger,25,20:51:56,46:03,56:59,50:05,Germany,M,53,"backyard rookie, many top 10 ultra-trails",48:30,46:51,49:21,50:25,50:28,49:49,50:18,49:49,51:30,46:17,47:12,47:09,49:37,50:50,48:49,51:11,46:03,49:40,49:40,49:25,50:40,51:44,54:23,56:59,55:16,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Spain,Luis de Andrés Santos,25,20:52:33,48:08,56:32,50:06,Spain,M,37,,48:16,49:46,48:54,49:53,50:08,50:46,50:40,49:22,48:08,49:15,49:55,49:35,50:08,51:33,50:31,49:54,49:44,49:49,50:23,48:59,49:53,50:41,49:54,49:54,56:32,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,United Kingdom,Andy Persson,25,21:56:34,51:25,56:16,52:40,English,M,,,51:33,52:26,52:52,51:27,52:28,53:50,51:59,52:50,51:44,51:51,52:12,51:25,52:18,52:24,53:06,52:34,52:54,52:19,53:04,52:10,52:33,53:15,52:47,54:17,56:16,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Ukraine,Viktor Hrebelskyi ,24,16:55:05,39:45,45:58,42:18,Ukraine,M,37,100K 8:53,45:58,41:42,41:23,42:05,41:28,43:30,42:40,42:34,42:58,42:28,42:51,43:08,43:07,42:07,42:53,43:17,41:44,40:36,40:50,40:56,42:14,39:45,41:56,42:55,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Germany,Patrick George,24,17:41:24,37:05,53:19,44:14,Germany,M,35,"best perf 24 yards, UTMB, FKT bodensee",40:07,37:57,40:07,40:08,38:54,42:32,42:28,42:04,43:17,41:34,41:20,42:29,37:31,37:05,46:07,46:56,48:03,48:46,53:19,50:42,47:21,50:01,49:42,52:54,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Canada,Dave Proctor,24,17:52:54,34:46,49:10,44:42,Canadian,M,39,52 yards,47:21,49:10,48:26,36:51,41:17,34:46,45:59,46:08,41:30,48:45,48:02,39:19,46:45,46:24,41:54,40:41,47:23,45:13,48:14,38:11,48:28,46:25,48:26,47:16,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Australia,Guy Schweitzer,24,18:25:05,43:08,52:32,46:03,Australia,M,45,,44:55,45:16,46:38,44:35,45:01,44:22,43:08,43:43,44:03,44:03,45:38,44:50,45:44,45:57,46:45,46:23,46:49,46:28,44:37,46:28,48:50,48:38,49:42,52:32,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Russia,Valeriy Regetsiy,24,18:30:58,40:52,50:40,46:17,Russia,M,,Ultratrailrunner. Spartatlon finisher,45:44,43:50,40:52,41:05,41:30,42:08,42:36,50:40,48:30,47:30,47:01,44:40,49:47,49:52,49:03,49:58,47:55,46:18,46:45,46:56,46:38,47:20,46:30,47:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Spain,Verónica Romero Rivero,24,18:52:29,45:41,49:24,47:11,Spain,F,45,,46:42,47:51,48:04,46:48,46:24,46:22,47:44,49:24,48:04,47:49,47:57,46:53,47:58,48:49,46:42,46:20,46:21,48:18,45:41,45:59,46:27,46:58,46:27,46:27,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Australia,Greg Ponych,24,18:54:50,43:29,50:16,47:17,Australia,M,54,,50:16,48:53,49:13,47:14,48:15,47:14,46:21,45:57,46:22,46:28,46:25,47:24,47:18,48:10,46:36,47:16,45:49,48:15,47:05,43:29,48:53,46:08,45:59,49:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Mexico,Florencio Quimare,24,19:09:10,40:34,56:50,47:53,Tarahumara Mexican,M,,Champion Rarajipari player and member of the famous Running 'Quimare Clan'. From Maneraci,40:34,45:56,50:21,48:24,48:50,47:02,47:15,47:09,48:27,47:59,49:25,46:43,47:20,47:28,48:12,49:02,45:48,45:10,46:30,42:30,48:20,50:15,53:40,56:50,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Denmark,Jesper Valbak,24,19:26:16,45:30,55:05,48:36,Danish,M,43,18 yards 2020,45:30,48:00,48:00,48:00,49:00,48:00,49:00,48:30,47:50,48:01,47:05,47:30,48:50,48:55,49:10,47:20,48:15,47:25,47:35,46:45,48:15,51:50,52:25,55:05,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Singapore,Natalie Dau,24,19:26:41,45:53,56:11,48:37,SINGAPORE PR,F,48,"1st overall and 1st woman Singapore 100km SG-Ultra Marathon 2019
1st woman and 2nd overall Kuching 102km Ultra Marathon 2020
2 x Spartan Elite world championships
1st Age-group CrossFit Asia 2018",50:00,50:00,49:00,48:21,47:25,46:47,45:53,46:50,47:05,48:30,47:26,48:19,48:10,46:54,47:15,47:45,47:55,47:15,47:54,49:50,49:43,50:05,52:08,56:11,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Ukraine,Valerii Shypunov ,24,19:40:39,43:53,54:42,49:12,Ukraine,M,31,24h - 192km,43:53,54:42,53:45,50:22,48:33,48:21,45:29,45:25,49:31,48:51,47:40,44:16,48:39,48:13,51:28,49:13,48:51,49:55,49:32,48:17,50:36,50:43,50:13,54:11,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Switzerland,Johannes Stimpfle,24,19:50:39,45:15,52:49,49:37,Germany,M,33,"2x UTMB, ZUT, Bob Graham Round",49:09,52:49,51:57,51:06,51:03,49:26,50:05,49:23,47:50,48:32,48:02,49:36,50:10,47:15,50:59,51:31,50:43,47:41,48:27,47:07,45:15,50:39,50:23,51:31,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Australia,Cam Munro,24,19:53:31,44:20,54:32,49:44,Australia,M,39,,47:40,47:08,49:23,46:34,49:18,44:20,47:28,48:06,45:46,50:07,50:39,50:19,50:11,50:03,50:10,50:21,50:41,50:12,50:12,50:36,54:32,52:54,54:11,52:40,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,United States,Joe Fejes,24,20:32:24,40:37,57:13,51:21,USA,M,54,606 miles in 6-days; best perf 44 yards,54:58,56:55,56:48,56:10,57:13,55:54,56:18,56:02,56:42,53:53,53:32,49:21,42:45,43:20,48:34,47:38,44:16,40:37,49:55,50:07,50:42,48:15,50:55,51:34,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,United Kingdom,Nick Lister,24,20:39:52,46:47,57:02,51:40,English,M,,,50:52,51:09,51:42,50:44,52:31,54:15,49:12,51:12,51:42,50:43,50:38,50:47,46:47,52:43,52:07,52:09,50:53,50:36,50:30,48:17,51:34,55:37,56:10,57:02,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Sweden,Lisa Amundsson,24,20:46:57,48:01,55:26,51:57,Sweden,F,60,Best perf 33 yards,48:01,49:13,49:01,49:46,50:02,50:41,50:28,52:09,51:25,51:07,52:06,51:33,51:59,52:13,52:48,53:28,53:44,52:19,52:09,55:08,54:52,55:26,54:41,52:38,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,United States,Chris Powell,24,20:50:05,47:27,56:40,52:05,USA,M,36,GT,52:41,56:40,54:58,53:00,53:07,54:56,53:28,54:51,54:57,54:25,54:10,47:27,47:53,49:52,47:48,50:32,48:20,48:47,49:57,54:13,51:15,52:44,53:30,50:34,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Switzerland,Stefan Knoche,24,20:58:22,49:05,55:49,52:26,Germany,M,54,"Transgrancnaria, 4x 100km Biel",49:07,55:08,51:01,54:27,53:29,54:25,52:00,53:06,51:44,51:23,53:27,49:05,51:47,52:54,53:42,52:40,52:47,51:23,50:12,51:23,50:37,51:46,55:49,55:00,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Singapore,Ben Swee,24,21:42:58,52:00,58:01,54:17,SINGAPOREAN,M,44,"Back 2 Endurance 2019 12 hour Male Senior Champion
UM24 2019 6 hour (Night) Male Champion
Back 2 Endurance 2018 12 hour Overall Champion ",56:00,52:00,54:00,54:29,54:21,54:40,53:55,54:13,53:15,54:42,54:20,54:15,54:35,54:03,54:00,53:52,55:32,54:08,53:35,53:58,53:08,53:15,54:41,58:01,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
